time;level;level_drop;fg_usage;time_left
0;95;0;0.01;496
0;95;0;0.01;496
30;95;5;0.2;491
30;95;5;0.5;487
30;95;5;0.4;484
30;95;5;0.3;480
30;90;5;0.3;475
30;90;10;0.2;470
60;90;10;0.2;462
60;90;10;0.3;457
60;90;10;0.2;454
60;85;10;0.2;449
90;85;15;0.2;422
90;85;15;0.2;420
90;85;15;0.2;413
120;85;15;0.2;406
120;80;15;0.2;397
120;80;20;0.2;395
120;80;20;0.2;389
120;80;20;0.2;387
120;80;20;0.2;383
120;75;20;0.2;380
120;75;25;0.2;377
150;75;25;0.2;375
150;75;25;0.2;370
150;75;25;0.2;364
150;70;25;0.1;357
150;70;30;0.1;352
180;70;30;0.1;344
180;70;30;0.1;338
180;70;30;0.1;336
180;65;30;0.1;334
180;65;35;0.1;333
180;65;35;0.1;332
180;65;35;0.1;330
180;65;35;0.2;328
180;60;35;0.2;326
180;60;40;0.2;322
180;60;40;0.2;318
180;60;40;0.2;316
210;60;40;0.2;312
210;55;40;0.2;306
210;55;45;0.2;300
210;55;45;0.2;298
210;55;45;0.2;296
210;55;45;0.2;295
210;50;45;0.2;293
210;50;50;0.2;291
240;50;50;0.2;284
240;50;50;0.2;277
240;50;50;0.2;274
240;45;50;0.2;272
240;45;55;0.2;270
240;45;55;0.1;268
300;45;55;0.1;212
330;45;55;0.1;182
330;45;55;0.1;180
330;45;55;0.1;170
360;40;55;0.1;164
360;40;60;0.1;160
360;40;60;0.1;156
360;40;60;0.1;136
0;100;0;0.01;1215
0;100;0;0.01;1215
0;100;0;0.01;1215
0;100;0;0.01;1215
30;100;5;0.01;1207
30;100;5;0.01;1203
60;100;5;0.1;1177
60;100;5;0.1;1175
60;95;5;0.1;1171
60;95;10;0.1;1168
60;95;10;0.1;1165
60;95;10;0.1;1163
60;95;10;0.1;1160
60;90;10;0.1;1158
60;90;15;0.1;1155
90;90;15;0.1;1153
90;90;15;0.1;1150
90;90;15;0.1;1147
90;85;15;0.1;1143
90;85;20;0.1;1137
90;85;20;0.1;1133
90;85;20;0.1;1128
120;85;20;0.1;1124
120;80;20;0.1;1120
120;80;25;0.1;1115
120;80;25;0.1;1110
120;80;25;0.1;1108
120;80;25;0.1;1105
120;75;25;0.1;1100
120;75;30;0.1;1096
150;75;30;0.1;1093
150;75;30;0.1;1089
150;75;30;0.1;1086
150;70;30;0.1;1084
150;70;35;0.1;1081
150;70;35;0.1;1078
150;70;35;0.1;1077
150;70;35;0.1;1075
150;65;35;0.1;1072
180;65;40;0.1;1052
180;65;40;0.1;1050
180;65;40;0.1;1049
180;65;40;0.1;1048
180;65;40;0.1;1047
210;65;40;0.1;1031
210;65;40;0.1;1026
210;65;40;0.1;1007
240;60;40;0.1;995
240;60;45;0.1;991
240;60;45;0.1;987
270;60;45;0.1;966
300;60;45;0.1;942
300;55;45;0.1;934
300;55;50;0.1;932
360;55;50;0.1;872
420;55;50;0.1;812
420;55;50;0.1;806
480;55;50;0.1;746
540;50;50;0.1;686
570;50;50;0.1;650
630;50;55;0.1;596
690;50;55;0.1;542
720;50;55;0.1;503
720;50;55;0.1;499
780;50;55;0.1;439
840;50;55;0.1;379
900;50;55;0.1;319
930;45;60;0.1;311
930;45;60;0.1;296
990;45;60;0.1;236
1050;45;60;0.01;176
1050;45;60;0.01;175
1050;45;60;0.01;174
1050;40;60;0.01;171
1050;40;65;0.01;170
1050;40;65;0.01;168
1080;40;65;0.01;164
1080;40;65;0.01;163
1080;35;65;0.01;159
1080;35;70;0.01;155
1080;35;70;0.01;152
1080;35;70;0.01;148
1080;35;70;0.01;146
1080;30;70;0.01;144
1080;30;75;0.01;141
1110;30;75;0.01;133
1110;30;75;0.1;126
1110;30;75;0.1;122
1110;25;75;0.1;118
1110;25;75;0.1;116
1110;25;80;0.1;113
1140;25;80;0.1;105
1140;25;80;0.1;100
