time;level;level_drop;fg_usage;time_left
0;30;0;0.01;303
0;30;5;0.2;303
30;30;5;0.1;299
30;25;5;0.01;274
60;25;5;0.01;263
90;25;5;0.01;242
90;25;10;0.01;230
120;25;10;0.01;209
120;25;10;0.01;202
150;25;10;0.01;174
150;20;10;0.01;171
210;20;10;0.01;111
270;20;10;0.1;51
300;20;15;0.1;26
300;20;15;0.1;23
0;60;0;0.01;2570
30;60;5;0.01;2557
60;60;5;0.01;2515
90;55;5;0.1;2491
90;55;5;0.1;2487
120;55;5;0.1;2472
180;55;10;0.1;2419
210;55;10;0.2;2365
270;50;10;0.2;2305
330;50;10;0.2;2245
390;50;10;0.2;2205
450;50;10;0.1;2145
510;50;10;0.1;2085
540;50;10;0.1;2033
600;50;15;0.1;1993
660;50;15;0.2;1933
720;50;15;0.2;1873
780;50;15;0.1;1813
840;50;15;0.1;1753
900;50;15;0.1;1693
960;50;15;0.1;1633
1020;50;15;0.1;1573
1080;50;15;0.1;1513
1140;50;15;0.1;1453
1200;50;15;0.1;1393
1260;50;15;0.1;1333
1320;50;15;0.1;1273
1320;45;20;0.1;1252
1350;45;20;0.1;1225
1410;40;20;0.1;1177
1470;40;20;0.1;1125
1530;40;20;0.1;1065
1590;40;25;0.1;1005
1620;40;25;0.1;973
1680;35;25;0.1;913
1740;35;25;0.1;853
1740;35;25;0.1;840
1770;35;30;0.1;801
1800;35;30;0.1;786
1800;30;30;0.1;773
1860;30;30;0.1;730
1860;30;30;0.1;715
1920;30;35;0.1;675
1920;30;35;0.1;657
0;85;0;0.01;1911
30;80;5;0.01;1910
30;80;5;0.01;1908
30;80;5;0.01;1906
30;80;5;0.3;1902
60;80;5;0.1;1852
90;75;10;0.1;1833
90;75;10;0.1;1823
150;75;10;0.1;1783
180;75;10;0.1;1736
210;75;10;0.1;1703
270;75;10;0.1;1644
330;75;10;0.1;1602
330;70;15;0.1;1602
330;70;15;0.1;1600
390;70;15;0.1;1540
450;70;15;0.01;1480
510;70;15;0.01;1420
570;70;15;0.01;1360
630;70;15;0.01;1300
690;70;15;0.01;1240
750;70;15;0.01;1180
810;70;15;0.01;1120
810;70;15;0.01;1114
870;65;20;0.01;1054
930;65;20;0.01;994
990;60;25;0.01;934
1050;55;30;0.01;874
1050;55;30;0.01;870
1110;55;30;0.01;822
1140;55;30;0.01;783
1170;50;35;0.01;757
1200;50;35;0.01;734
1260;50;35;0.01;674
1320;50;35;0.01;614
1350;50;35;0.01;588
1410;45;40;0.01;528
1470;45;40;0.01;468
1500;45;40;0.01;440
1530;45;40;0.01;398
1560;45;40;0.1;357
1590;35;50;0.1;322
1620;35;50;0.1;321
1620;30;55;0.1;320
1620;30;55;0.1;317
1620;30;55;0.1;317
1620;30;55;0.1;315
1620;30;55;0.1;310
1650;25;60;0.1;289
0;60;0;0.01;5145
0;60;5;0.01;5145
30;60;5;0.01;5133
60;60;5;0.01;5109
120;60;5;0.7;5049
180;60;5;0.4;4989
240;60;5;0.3;4929
300;60;5;0.3;4869
360;60;5;0.2;4809
420;60;5;0.2;4749
480;60;5;0.2;4689
540;60;5;0.2;4629
600;60;5;0.2;4569
660;60;5;0.1;4509
720;60;5;0.1;4449
780;60;5;0.1;4389
840;60;5;0.1;4329
900;60;5;0.1;4269
960;60;5;0.1;4209
1020;60;5;0.1;4149
1080;60;5;0.1;4089
1110;60;5;0.1;4058
1110;55;5;0.1;4057
1110;55;5;0.1;4051
1140;55;10;0.1;4030
1170;55;10;0.1;3990
1170;55;10;0.1;3989
1170;55;10;0.1;3979
1170;50;10;0.1;3976
1170;50;10;0.1;3976
0;50;0;0.01;3061
0;50;5;0.01;3061
60;50;5;0.01;3001
120;50;5;0.01;2941
180;50;5;0.01;2881
210;45;10;0.01;2862
270;45;10;0.01;2802
330;45;10;0.01;2742
360;45;10;0.01;2707
390;45;10;0.01;2696
420;40;10;0.01;2653
480;40;15;0.01;2599
540;40;15;0.01;2539
600;40;15;0.01;2479
660;40;15;0.01;2424
690;40;15;0.01;2388
720;35;15;0.01;2344
780;35;15;0.01;2284
840;35;15;0.01;2224
900;35;15;0.01;2164
960;35;15;0.01;2104
1020;35;15;0.01;2044
1080;35;15;0.01;1984
1140;35;15;0.01;1924
1200;35;15;0.01;1864
1260;35;15;0.01;1804
1320;35;15;0.01;1744
1380;35;15;0.01;1684
1440;35;15;0.01;1624
