time;level;level_drop;fg_usage;time_left
0;100;0;0.01;1368
30;100;5;1.0;1365
30;100;5;0.4;1359
60;100;5;0.1;1328
90;100;5;0.1;1299
90;95;5;0.2;1293
90;95;10;0.2;1291
150;95;10;0.1;1234
150;95;10;0.1;1231
150;95;10;0.1;1229
150;90;10;0.1;1227
150;90;15;0.1;1224
150;90;15;0.1;1223
180;90;15;0.1;1202
210;90;15;0.1;1184
240;85;15;0.1;1133
270;85;20;0.1;1103
330;85;20;0.1;1043
390;80;20;0.1;983
450;80;25;0.1;923
510;80;25;0.1;863
570;75;30;0.1;803
630;75;30;0.1;743
690;70;30;0.1;683
750;70;30;0.1;632
780;70;35;0.1;591
840;70;35;0.1;531
900;70;35;0.1;471
900;70;35;0.1;467
960;70;35;0.1;432
960;65;35;0.1;429
960;65;40;0.1;427
960;65;40;0.1;423
960;65;40;0.1;420
960;65;40;0.1;416
960;60;40;0.1;408
990;60;45;0.1;406
990;60;45;0.1;402
990;60;45;0.1;398
990;60;45;0.1;386
1020;55;45;0.1;373
1020;55;50;0.1;357
1050;55;50;0.1;345
1050;55;50;0.1;332
1050;55;50;0.1;319
1080;50;50;0.1;299
1080;50;55;0.1;292
1110;50;55;0.1;287
1110;50;55;0.1;276
1110;50;55;0.1;261
1140;45;55;0.1;257
1140;45;60;0.1;249
1140;45;60;0.1;244
1140;45;60;0.1;241
1140;45;60;0.1;237
1170;40;60;0.1;215
1170;40;65;0.1;198
1200;40;65;0.1;174
1230;40;65;0.1;157
1230;40;65;0.1;149
1260;35;65;0.1;135
1260;35;70;0.1;119
1290;35;70;0.1;98
1290;35;70;0.1;91
1290;30;70;0.1;86
1290;30;75;0.1;78
1320;30;75;0.1;77
1320;30;75;0.1;71
1320;30;75;0.1;66
1320;25;75;0.1;58
1320;25;80;0.1;57
1320;25;80;0.1;56
1320;25;80;0.1;55
1320;25;80;0.1;53
1320;20;80;0.1;52
1320;20;85;0.1;50
1320;20;85;0.1;48
0;70;0;0.01;841
0;70;0;0.01;841
30;70;5;0.01;838
30;70;5;0.01;834
30;70;5;0.01;828
30;65;5;0.01;821
30;65;5;0.01;816
60;65;10;0.01;808
60;65;10;0.01;803
60;65;10;0.01;796
60;60;10;0.01;788
90;60;10;0.01;779
90;60;15;0.1;775
90;60;15;0.1;764
90;60;15;0.1;753
120;55;15;0.1;747
120;55;15;0.1;738
120;55;20;0.1;723
150;55;20;0.1;709
150;55;20;0.1;694
180;50;20;0.1;691
180;50;20;0.1;688
180;50;25;0.1;683
210;50;25;0.1;659
210;50;25;0.1;655
240;45;25;0.1;627
270;45;25;0.1;598
270;45;30;0.1;596
270;45;30;0.1;594
270;45;30;0.1;594
270;40;30;0.1;592
270;40;30;0.1;591
270;40;35;0.1;589
270;40;35;0.1;586
270;40;35;0.1;585
270;35;35;0.1;583
270;35;35;0.1;579
330;25;45;0.1;519
390;20;55;0.1;459
390;20;55;0.1;458
450;20;55;0.1;398
