time;level;level_drop;fg_usage;time_left
0;60;0;0.01;2071
30;60;5;0.01;2070
30;55;5;0.4;2065
30;55;5;0.2;2060
30;55;5;0.2;2057
30;55;5;0.2;2055
60;45;15;0.1;2022
90;45;20;0.1;2005
90;40;20;0.1;1987
120;40;20;0.1;1980
180;40;20;0.1;1920
240;40;20;0.1;1860
300;40;20;0.1;1800
360;40;20;0.1;1740
420;40;20;0.1;1680
480;40;20;0.1;1620
540;40;20;0.1;1560
600;40;20;0.1;1500
660;40;20;0.1;1440
720;40;20;0.1;1380
780;40;20;0.01;1320
840;40;20;0.01;1260
900;40;20;0.01;1200
960;40;20;0.01;1140
1020;40;20;0.01;1080
1080;40;20;0.01;1020
1140;40;20;0.01;960
1200;40;20;0.01;900
1260;40;20;0.1;840
1290;40;25;0.1;806
1290;40;25;0.1;806
1290;40;25;0.1;806
1290;40;25;0.1;806
1290;40;25;0.1;806
1290;35;25;0.1;801
1290;35;25;0.1;795
1290;35;25;0.1;792
1290;35;25;0.1;790
1290;35;30;0.1;789
0;100;0;0.01;865
0;100;0;0.01;865
0;100;0;0.01;865
30;100;5;0.01;864
30;100;5;0.2;858
60;100;5;0.1;831
120;95;10;0.1;771
180;85;15;0.1;711
240;80;25;0.1;651
300;75;30;0.1;591
360;70;35;0.1;531
420;65;40;0.1;471
480;55;45;0.1;411
540;50;55;0.1;351
600;45;60;0.1;291
660;40;65;0.1;231
720;35;70;0.1;171
780;25;75;0.1;111
840;20;85;0.1;51
840;15;90;0.1;42
0;50;0;0.01;135
30;50;5;0.2;132
30;50;5;0.4;129
30;45;5;0.5;126
30;45;5;0.4;122
30;45;5;0.4;120
30;45;5;0.4;120
30;45;5;0.4;120
30;45;5;0.4;119
30;45;5;0.4;119
30;45;5;0.4;119
30;45;5;0.4;119
0;50;0;0.01;200
0;50;0;0.01;200
0;50;0;0.01;200
0;50;0;0.01;200
0;50;0;0.01;200
30;50;5;0.1;188
30;50;5;0.3;185
30;45;5;0.4;182
0;70;0;0.01;930
0;70;0;0.01;930
30;70;5;0.2;925
30;70;5;0.1;917
30;70;5;0.2;914
30;70;5;0.2;907
30;65;5;0.2;905
30;65;10;0.2;904
30;65;10;0.2;902
60;65;10;0.2;900
60;65;10;0.2;896
60;60;10;0.2;891
60;60;15;0.2;884
60;60;15;0.2;878
60;60;15;0.2;875
60;60;15;0.2;873
60;55;15;0.2;870
90;55;20;0.2;866
90;55;20;0.2;864
90;55;20;0.2;858
90;55;20;0.2;853
90;50;20;0.2;848
90;50;25;0.2;844
120;50;25;0.2;837
120;50;25;0.2;834
120;50;25;0.2;830
120;45;25;0.2;822
150;45;25;0.2;804
150;45;30;0.2;798
150;45;30;0.2;795
180;45;30;0.2;778
180;45;30;0.2;768
210;40;30;0.2;739
210;40;35;0.2;734
210;40;35;0.2;728
210;40;35;0.2;724
240;40;35;0.2;697
270;35;35;0.2;685
270;35;40;0.2;681
270;35;40;0.2;679
270;35;40;0.2;675
270;35;40;0.2;673
270;30;40;0.2;671
270;30;45;0.2;668
270;30;45;0.2;667
270;30;45;0.2;661
300;30;45;0.2;658
330;25;45;0.2;627
330;25;50;0.2;613
330;25;50;0.2;609
330;25;50;0.2;607
360;25;50;0.2;599
420;20;50;0.2;539
480;20;55;0.1;479
540;20;55;0.1;419
570;20;55;0.1;363
600;20;55;0.1;359
600;20;55;0.1;356
660;20;55;0.1;296
720;20;55;0.1;236
780;20;55;0.1;176
780;20;55;0.1;165
840;20;55;0.1;105
900;20;55;0.1;45
900;20;55;0.1;43
960;15;55;0.1;0
