time;level;level_drop;fg_usage;time_left
0;100;0;0.01;5119
60;100;5;0.01;5068
120;100;5;0.01;5008
180;100;5;0.01;4948
210;100;5;0.01;4936
270;100;5;0.01;4876
330;100;5;0.01;4816
360;100;5;0.01;4768
420;100;5;0.01;4708
480;100;5;0.01;4648
510;95;5;0.01;4611
540;95;10;0.01;4608
600;95;10;0.01;4548
660;95;10;0.01;4488
660;95;10;0.01;4471
720;95;10;0.01;4417
720;95;10;0.01;4414
750;90;10;0.01;4394
780;90;15;0.01;4365
810;90;15;0.01;4325
870;90;15;0.01;4276
900;90;15;0.01;4248
930;85;15;0.01;4216
0;100;0;0.01;3656
0;100;0;0.01;3656
0;100;0;0.01;3656
30;100;0;0.01;3630
30;100;5;0.01;3630
60;100;5;0.01;3607
90;100;5;0.01;3570
150;100;5;0.01;3510
210;95;5;0.01;3450
240;95;5;0.01;3443
240;95;10;0.1;3424
240;95;10;0.1;3420
240;95;10;0.1;3418
270;95;10;0.1;3415
270;90;10;0.1;3410
270;90;15;0.1;3407
300;90;15;0.1;3365
360;90;15;0.1;3316
420;90;15;0.1;3256
480;90;15;0.1;3196
480;90;15;0.1;3176
540;85;15;0.1;3116
600;85;20;0.1;3056
630;85;20;0.1;3052
660;85;20;0.1;3015
690;85;20;0.1;2979
690;85;20;0.1;2974
690;85;20;0.1;2971
750;85;20;0.1;2911
810;85;20;0.1;2851
870;85;20;0.1;2791
930;80;25;0.1;2753
0;100;0;0.01;3459
0;100;0;0.01;3459
60;100;5;0.01;3429
90;100;5;0.01;3375
90;100;5;0.01;3374
120;100;5;0.01;3347
120;100;5;0.01;3342
150;100;5;0.01;3325
210;95;5;0.01;3265
270;95;10;0.01;3205
330;95;10;0.01;3152
330;95;10;0.01;3140
330;95;10;0.01;3137
360;90;10;0.01;3108
390;90;15;0.01;3078
420;90;15;0.01;3055
450;90;15;0.01;3029
480;90;15;0.01;2980
540;90;15;0.01;2931
540;85;15;0.01;2929
570;85;20;0.01;2891
630;85;20;0.01;2855
630;85;20;0.01;2838
660;85;20;0.01;2808
720;85;20;0.01;2748
780;85;20;0.01;2688
840;85;20;0.01;2628
870;80;25;0.01;2605
0;100;0;0.01;3185
0;100;0;0.01;3185
60;100;5;0.01;3125
120;100;5;0.01;3065
150;100;5;0.01;3061
150;100;5;0.01;3040
210;95;5;0.01;2980
270;95;10;0.01;2920
300;95;10;0.01;2913
300;95;10;0.01;2893
330;95;10;0.01;2881
330;95;10;0.01;2878
330;95;10;0.01;2876
330;90;10;0.01;2874
330;90;15;0.01;2872
330;90;15;0.01;2871
330;90;15;0.01;2869
390;90;15;0.01;2809
450;85;15;0.01;2749
480;85;20;0.01;2707
510;85;20;0.01;2681
570;85;20;0.01;2621
630;85;20;0.01;2561
660;80;20;0.01;2551
690;80;25;0.01;2521
750;80;25;0.01;2461
810;80;25;0.01;2401
870;80;25;0.01;2341
870;80;25;0.01;2323
0;100;0;0.01;3046
30;100;5;0.1;3024
90;100;5;0.1;2968
120;100;5;0.1;2942
150;100;5;0.1;2923
150;100;5;0.1;2920
210;95;5;0.01;2860
270;95;10;0.01;2800
270;95;10;0.01;2794
300;95;10;0.01;2757
330;95;10;0.01;2717
390;95;10;0.01;2674
420;90;10;0.01;2628
480;90;15;0.01;2583
510;90;15;0.01;2545
570;90;15;0.01;2497
600;90;15;0.01;2470
630;85;15;0.01;2442
630;85;20;0.01;2418
660;85;20;0.01;2409
660;85;20;0.1;2394
690;85;20;0.1;2380
720;80;20;0.1;2355
780;80;25;0.2;2295
840;80;25;0.3;2235
840;80;25;0.3;2222
0;100;0;0.01;2799
0;100;0;0.01;2799
